id,title,fileType,date,description,name,tags,digital,thumbPath
az165,azur365 2023 Day 165,png,14/6/2023,USS Aylwin,165_aylwin,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\165_aylwin.jpg
az166,azur365 2023 Day 166,png,15/6/2023,USS Birmingham,166_birmingham,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\166_birmingham.jpg
az167,azur365 2023 Day 167,png,16/6/2023,HMS Exeter,167_exeter,"azur365, fanart, azur lane, chibi, HMS",1,.\public\assets\thumbnails\azur365\167_exeter.jpg
az168,azur365 2023 Day 168,png,17/6/2023,USS Alabama,168_alabama,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\168_alabama.jpg
az169,azur365 2023 Day 169,png,18/6/2023,USS Cavalla,169_cavalla,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\169_cavalla.jpg
az170,azur365 2023 Day 170,png,19/6/2023,IJN Shigure,170_shigure,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\170_shigure.jpg
az171,azur365 2023 Day 171,png,20/6/2023,USS Bataan,171_bataan,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\171_bataan.jpg
az172,azur365 2023 Day 172,png,21/6/2023,USS Baltimore,172_baltimore,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\172_baltimore.jpg
az173,azur365 2023 Day 173,png,22/6/2023,USS San Juan,173_san_juan,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\173_san_juan.jpg
az174,azur365 2023 Day 174,png,23/6/2023,IJN Kisaragi,174_kisaragi,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\174_kisaragi.jpg
az175,azur365 2023 Day 175,png,24/6/2023,USS Richmond,175_richmond,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\175_richmond.jpg
az176,azur365 2023 Day 176,png,25/6/2023,IJN Nachi,176_nachi,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\176_nachi.jpg
az177,azur365 2023 Day 177,png,26/6/2023,IJN Myoukou,177_myoukou,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\177_myoukou.jpg
az178,azur365 2023 Day 178,png,27/6/2023,USS Enterprise,178_enterprise,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\178_enterprise.jpg
az179,azur365 2023 Day 179,png,28/6/2023,IJN Ryuujou,179_ryuujou,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\179_ryuujou.jpg
az180,azur365 2023 Day 180,png,29/6/2023,IJN Houshou,180_houshou,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\180_houshou.jpg
az181,azur365 2023 Day 181,png,30/6/2023,IJN Inazuma,181_inazuma,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\181_inazuma.jpg
az182,azur365 2023 Day 182,png,1/7/2023,IJN Yuubari,182_yuubari,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\182_yuubari.jpg
az183,azur365 2023 Day 183,png,2/7/2023,USS Benson,183_benson,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\183_benson.jpg
az184,azur365 2023 Day 184,png,3/7/2023,KMS Roon,184_roon,"azur365, fanart, azur lane, chibi, KMS",1,.\public\assets\thumbnails\azur365\184_roon.jpg
az185,azur365 2023 Day 185,png,4/7/2023,USS Bush,185_bush,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\185_bush.jpg
az186,azur365 2023 Day 186,png,5/7/2023,USS Denver,186_denver,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\186_denver.jpg
az187,azur365 2023 Day 187,png,6/7/2023,IJN Ikazuchi,187_ikazuchi,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\187_ikazuchi.jpg
